class_session_key,class_base_key,class_title_base,class_datetime_text,class_date,weekday_text,start_datetime_iso,end_datetime_iso,start_hour,duration_minutes,schedule_parse_status,schedule_needs_review,organizer_studio_key,actual_location_key,actual_location_display_name,actual_location_address,normalized_studio_key,display_name,address,latitude,longitude,needs_manual_verification,location_match_status,location_from_class_detail,movement_type,location_evidence_text,location_evidence_status,location_evidence_match_type,reservation_count,cancellation_count,net_reservation_count,review_count,reservation_hype,review_hype,satisfaction_hype,operations_stability,active_reservation_rows,active_people_count,unique_participant_count,cancellation_rows,cancelled_people_count
너울너울소매틱뮤직handpandoodle_20260422T1900,너울너울소매틱뮤직handpandoodle,[너울너울] 소매틱뮤직 'Handpan Doodle',4.22 (수) 19:00-20:00,2026-04-22,수,2026-04-22T19:00+09:00,2026-04-22T20:00+09:00,19,60,parsed,False,너울너울,너울너울,너울너울,서울특별시 마포구 성산동 3-30,너울너울,너울너울,서울특별시 마포구 성산동 3-30,37.565560190736,126.91602233188,False,matched,True,studio_or_indoor,📍 장소 @너울너울 (성산동 3-30) *지하철 1)가좌역 1번출구 도보7분 2)홍대입구역 2번출구 - 마을버스 6번 경의선숲길공원 입구 하차 - 도보 5분 *일반버스 1)사천교 정류장 2)성산2교 정류쟝 *자가용,matched_from_class_detail,address_without_city,30,25,5,3,45.18,81.62,100.0,54.55,5,5,5,3,3
마이트리하타_20260422T1900,마이트리하타,[마이트리] 하타,4.22 (수) 19:00-20:00,2026-04-22,수,2026-04-22T19:00+09:00,2026-04-22T20:00+09:00,19,60,parsed,False,마이트리,마이트리,마이트리,서울특별시 서대문구 연희로 85 5층,마이트리,마이트리,서울특별시 서대문구 연희로 85 5층,37.565997558444,126.929894716912,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로 85 5층,matched_from_class_detail,address,46,27,19,0,95.18,20.48,,63.01,5,5,5,1,1
빅블루요가호흡리커버리_20260422T1930,빅블루요가호흡리커버리,[빅블루요가] 호흡 리커버리,4.22 (수) 19:30-20:40,2026-04-22,수,2026-04-22T19:30+09:00,2026-04-22T20:40+09:00,19,70,parsed,False,빅블루요가,빅블루요가,빅블루요가,서울특별시 서대문구 연희로15길 31 지층,빅블루요가,빅블루요가,서울특별시 서대문구 연희로15길 31 지층,37.568792797424,126.930228568115,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로15길 31 지층,matched_from_class_detail,address,63,49,14,5,81.93,80.42,100.0,56.25,2,2,2,2,2
시이작다독이는인요가_20260422T1950,시이작다독이는인요가,[시이작] 다독이는 인요가,4.22 (수) 19:50-20:50,2026-04-22,수,2026-04-22T19:50+09:00,2026-04-22T20:50+09:00,19,60,parsed,False,시이작,시이작,시이작,서울특별시 서대문구 연희로11나길 5 2층,시이작,시이작,서울특별시 서대문구 연희로11나길 5 2층,37.567493895799,126.928321014591,False,matched,True,studio_or_indoor,📍 장소 연희로 11나길 5 2층 시이작,matched_from_class_detail,address_without_city,25,23,2,1,22.89,53.31,100.0,52.08,3,3,3,2,2
마인드플로우하타요가_20260422T2000,마인드플로우하타요가,[마인드플로우] 하타요가,4.22 (수) 20:00-21:00,2026-04-22,수,2026-04-22T20:00+09:00,2026-04-22T21:00+09:00,20,60,parsed,False,마인드플로우,마인드플로우,마인드플로우,서울특별시 서대문구 연희로 224 3층,마인드플로우,마인드플로우,서울특별시 서대문구 연희로 224 3층,37.577020515491,126.935853747155,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로 224 3층,matched_from_class_detail,address,49,33,16,2,89.76,65.66,97.0,59.76,2,2,2,0,0
마이트리아쉬탕가_20260422T2030,마이트리아쉬탕가,[마이트리] 아쉬탕가,4.22 (수) 20:30-21:30,2026-04-22,수,2026-04-22T20:30+09:00,2026-04-22T21:30+09:00,20,60,parsed,False,마이트리,마이트리,마이트리,서울특별시 서대문구 연희로 85 5층,마이트리,마이트리,서울특별시 서대문구 연희로 85 5층,37.565997558444,126.929894716912,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로 85 5층,matched_from_class_detail,address,19,14,5,2,45.18,78.31,86.0,57.58,1,1,1,0,0
마이트리빈야사_20260423T0700,마이트리빈야사,[마이트리] 빈야사,4.23 (목) 07:00-08:00,2026-04-23,목,2026-04-23T07:00+09:00,2026-04-23T08:00+09:00,7,60,parsed,False,마이트리,마이트리,마이트리,서울특별시 서대문구 연희로 85 5층,마이트리,마이트리,서울특별시 서대문구 연희로 85 5층,37.565997558444,126.929894716912,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로 85 5층,matched_from_class_detail,address,35,31,4,2,37.35,68.38,100.0,53.03,0,0,0,1,1
시이작초급빈야사_20260423T0700,시이작초급빈야사,[시이작] 초급 빈야사,4.23 (목) 07:00-08:00,2026-04-23,목,2026-04-23T07:00+09:00,2026-04-23T08:00+09:00,7,60,parsed,False,시이작,시이작,시이작,서울특별시 서대문구 연희로11나길 5 2층,시이작,시이작,서울특별시 서대문구 연희로11나길 5 2층,37.567493895799,126.928321014591,False,matched,True,studio_or_indoor,📍 장소 연희로 11나길 5 2층 시이작,matched_from_class_detail,address_without_city,10,17,-7,0,1.81,20.48,,37.04,4,4,4,4,4
마이트리하타베이직_20260423T1000,마이트리하타베이직,[마이트리] 하타베이직,4.23 (목) 10:00-11:00,2026-04-23,목,2026-04-23T10:00+09:00,2026-04-23T11:00+09:00,10,60,parsed,False,마이트리,마이트리,마이트리,서울특별시 서대문구 연희로 85 5층,마이트리,마이트리,서울특별시 서대문구 연희로 85 5층,37.565997558444,126.929894716912,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로 85 5층,matched_from_class_detail,address,15,8,7,1,62.65,58.14,100.0,65.22,5,5,5,5,5
빅블루요가호흡리커버리_20260423T1000,빅블루요가호흡리커버리,[빅블루요가] 호흡 리커버리,4.23 (목) 10:00-11:00,2026-04-23,목,2026-04-23T10:00+09:00,2026-04-23T11:00+09:00,10,60,parsed,False,빅블루요가,빅블루요가,빅블루요가,서울특별시 서대문구 연희로15길 31 지층,빅블루요가,빅블루요가,서울특별시 서대문구 연희로15길 31 지층,37.568792797424,126.930228568115,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로15길 31 지층,matched_from_class_detail,address,63,49,14,5,81.93,80.42,100.0,56.25,4,5,4,2,2
