origin_location_key,origin_display_name,origin_latitude,origin_longitude,destination_location_key,destination_display_name,destination_latitude,destination_longitude,is_same_location,straight_distance_m,straight_distance_km,fallback_walk_distance_m,fallback_walk_minutes,osmnx_walk_distance_m,osmnx_walk_minutes,walk_distance_m,walk_minutes,walk_method,distance_quality_note,osmnx_status,walk_speed_kmph,fallback_route_factor,origin_needs_manual_verification,destination_needs_manual_verification
마인드플로우,마인드플로우,37.577020515491,126.935853747155,무릉,무릉,37.568813333087,126.927272103227,False,1185.26,1.185,1540.83,19.26,1332.54,16.66,1332.54,16.66,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
마인드플로우,마인드플로우,37.577020515491,126.935853747155,비전스트롤 콜라보,비전스트롤,37.567356642134,126.928486557178,False,1255.5,1.255,1632.15,20.4,1301.56,16.27,1301.56,16.27,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
마인드플로우,마인드플로우,37.577020515491,126.935853747155,빅블루요가,빅블루요가,37.568792797424,126.930228568115,False,1040.57,1.041,1352.74,16.91,1082.17,13.53,1082.17,13.53,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
마인드플로우,마인드플로우,37.577020515491,126.935853747155,숨명상센터,숨 명상센터,37.572092920342,126.93806774306,False,581.63,0.582,756.12,9.45,678.47,8.48,678.47,8.48,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
마인드플로우,마인드플로우,37.577020515491,126.935853747155,시이작,시이작,37.567493895799,126.928321014591,False,1250.15,1.25,1625.19,20.31,1343.74,16.8,1343.74,16.8,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
마인드플로우,마인드플로우,37.577020515491,126.935853747155,연남장,연남장,37.564330104536,126.927584999673,False,1588.18,1.588,2064.63,25.81,1753.99,21.92,1753.99,21.92,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
마인드플로우,마인드플로우,37.577020515491,126.935853747155,연희정음,연희정음,37.566711570866,126.929277808838,False,1284.48,1.284,1669.83,20.87,1352.32,16.9,1352.32,16.9,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
마인드플로우,마인드플로우,37.577020515491,126.935853747155,파츄코파라다이스,파츄코파라다이스,37.566328308343,126.927201695241,False,1412.44,1.412,1836.17,22.95,1492.36,18.65,1492.36,18.65,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
무릉,무릉,37.568813333087,126.927272103227,너울너울,너울너울,37.565560190736,126.91602233188,False,1055.45,1.055,1372.09,17.15,1389.97,17.37,1389.97,17.37,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
무릉,무릉,37.568813333087,126.927272103227,대저택프라이빗,바운드하우스,37.570882196338,126.928780175247,False,265.68,0.266,345.39,4.32,362.64,4.53,362.64,4.53,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
