source_file,source_line,class_date,day_number,start_time,end_time,location_text,class_title_text,class_title_without_teacher,teacher_text,reserved_count,capacity,fill_rate,raw_entry,raw_count_text,needs_review
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,231,2026-04-26,26,10:00,11:00,연남장|커뮤니티허브,차근 차근 몸을 깨우는 하타요가 (유미),차근 차근 몸을 깨우는 하타요가,유미,25,29,0.8621,10:00-11:00 [연남장|커뮤니티허브] 차근 차근 몸을 깨우는 하타요가 (유미),25|29,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,233,2026-04-26,26,10:00,11:00,연희정음|랜드마크,빅블루의 호흡 회복 요가 (환),빅블루의 호흡 회복 요가,환,9,10,0.9,10:00-11:00 [연희정음|랜드마크] 빅블루의 호흡 회복 요가 (환),9|10,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,235,2026-04-26,26,12:00,13:00,연남장|커뮤니티허브,처음이라 좋은 아쉬탕가 with 베지어트 (준형),처음이라 좋은 아쉬탕가 with 베지어트,준형,28,28,1.0,12:00-13:00 [연남장|커뮤니티허브]처음이라 좋은 아쉬탕가 with 베지어트 (준형),28|28,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,237,2026-04-26,26,12:00,13:00,연희정음|랜드마크,무릉 엠비언트 콘서트 - 무릉 숨비소리 (숨비소리),무릉 엠비언트 콘서트 - 무릉 숨비소리,숨비소리,8,10,0.8,12:00-13:00 [연희정음|랜드마크] 무릉 엠비언트 콘서트 - 무릉 숨비소리 (숨비소리),8|10,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,239,2026-04-26,26,13:15,14:30,연남장|커뮤니티허브,비트박스 공연과 호흡소리로 몰입하는 요가 (환),비트박스 공연과 호흡소리로 몰입하는 요가,환,13,30,0.4333,13:15-14:30 [연남장|커뮤니티허브] 비트박스 공연과 호흡소리로 몰입하는 요가 (환),13|30,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,241,2026-04-26,26,14:00,15:40,연희정음|랜드마크,인요가와 저널링 with 프라우카 (예진),인요가와 저널링 with 프라우카,예진,20,20,1.0,14:00-15:40 [연희정음|랜드마크]인요가와 저널링 with 프라우카 (예진),20|20,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,243,2026-04-26,26,15:00,16:00,연남장|커뮤니티허브,마인드풀니스 테라피 요가 (아카샤(은채)),마인드풀니스 테라피 요가 (아카샤(은채)),,28,28,1.0,15:00-16:00 [연남장|커뮤니티허브] 마인드풀니스 테라피 요가 (아카샤(은채)),28|28,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,245,2026-04-26,26,16:30,17:30,연남장|커뮤니티허브,Forrestyoga의 움직임을 기반으로 내몸의 바른 사용법 찾아가기 (미쉘),Forrestyoga의 움직임을 기반으로 내몸의 바른 사용법 찾아가기,미쉘,30,30,1.0,16:30-17:30 [연남장|커뮤니티허브]Forrestyoga의 움직임을 기반으로 내몸의 바른 사용법 찾아가기 (미쉘),30|30,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,247,2026-04-26,26,17:30,18:30,연희정음|랜드마크,"예술 명상 콘서트-피아노 기타 연주와 그림 감상을 하며, 마음에 스며드는 명상 콘서트 (수지)","예술 명상 콘서트-피아노 기타 연주와 그림 감상을 하며, 마음에 스며드는 명상 콘서트",수지,4,20,0.2,"17:30-18:30 [연희정음|랜드마크]예술 명상 콘서트-피아노 기타 연주와 그림 감상을 하며, 마음에 스며드는 명상 콘서트 (수지)",4|20,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,249,2026-04-26,26,18:00,19:00,마인드플로우|연희스페셜,몸으로 하는 선셋 자애 명상 (유미),몸으로 하는 선셋 자애 명상,유미,9,9,1.0,18:00-19:00 [마인드플로우|연희스페셜] 몸으로 하는 선셋 자애 명상 (유미),9|9,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,251,2026-04-26,26,18:00,19:00,연남장|커뮤니티허브,숨비소리 사운드 리추얼 (숨비소리),숨비소리 사운드 리추얼,숨비소리,8,20,0.4,18:00-19:00 [연남장|커뮤니티허브]숨비소리 사운드 리추얼 (숨비소리),8|20,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,253,2026-04-26,26,19:30,20:30,연희정음,핸드팬 사운드스케이프 '일렁' (미지수),핸드팬 사운드스케이프 '일렁',미지수,2,15,0.1333,19:30-20:30 [연희정음] 핸드팬 사운드스케이프 '일렁' (미지수),2|15,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,255,2026-04-26,26,19:50,21:20,시이작,땀나는 하타 (수인),땀나는 하타,수인,7,7,1.0,19:50-21:20 [시이작] 땀나는 하타 (수인),7|7,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,259,2026-04-27,27,07:00,08:30,시이작,아쉬탕가 풀프라이머리 (준형),아쉬탕가 풀프라이머리,준형,3,4,0.75,07:00-08:30 [시이작] 아쉬탕가 풀프라이머리 (준형),3|4,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,261,2026-04-27,27,10:00,11:20,빅블루요가,정렬 에센스 (환),정렬 에센스,환,6,6,1.0,10:00-11:20 [빅블루요가] 정렬 에센스 (환),6|6,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,263,2026-04-27,27,10:30,11:30,마인드플로우,비기너요가 (유미),비기너요가,유미,4,10,0.4,10:30-11:30 [마인드플로우] 비기너요가 (유미),4|10,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,265,2026-04-27,27,11:50,12:50,마이트리,테라피 (성욱),테라피,성욱,5,5,1.0,11:50-12:50 [마이트리] 테라피 (성욱),5|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,267,2026-04-27,27,18:30,19:30,마인드플로우,비기너요가 (유미),비기너요가,유미,1,10,0.1,18:30-19:30 [마인드플로우] 비기너요가 (유미),1|10,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,269,2026-04-27,27,18:30,19:30,시이작,깨어나는 하타 (준호),깨어나는 하타,준호,4,4,1.0,18:30-19:30 [시이작] 깨어나는 하타 (준호),4|4,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,271,2026-04-27,27,19:00,20:00,마이트리,하타 (성욱),하타,성욱,3,5,0.6,19:00-20:00 [마이트리] 하타 (성욱),3|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,273,2026-04-27,27,19:30,20:40,빅블루요가,호흡 리커버리 (환),호흡 리커버리,환,4,6,0.6667,19:30-20:40 [빅블루요가] 호흡 리커버리 (환),4|6,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,275,2026-04-27,27,20:00,21:00,마인드플로우,빈야사요가 (유미),빈야사요가,유미,5,10,0.5,20:00-21:00 [마인드플로우] 빈야사요가 (유미),5|10,False
