calendar_source_line,calendar_class_date,calendar_start_time,calendar_end_time,calendar_location_text,calendar_class_title_text,calendar_teacher_text,calendar_reserved_count,calendar_capacity,calendar_fill_rate,drive_source_cell,drive_location_text,drive_class_title_text,drive_instructor_text,drive_capacity,match_score,match_status,capacity_difference,needs_review
309,2026-04-29,10:00,11:20,빅블루요가,정렬 에센스 (환),환,7,7,1.0,R28C3,빅블루요가,정렬 에센스(80분),환 (정원 5명),5,100.0,matched_capacity_mismatch,2,True
311,2026-04-29,10:30,11:30,마인드플로우,하타요가 (유미),유미,4,10,0.4,R29C3,마인드플로우,하타요가(60분),유미 정원 10명,10,100.0,matched_same_capacity,0,False
313,2026-04-29,11:50,12:50,마이트리,빈야사 (성욱),성욱,4,5,0.8,R30C3,마이트리,빈야사 (60분),성욱 -정원5명,5,100.0,matched_same_capacity,0,False
315,2026-04-29,12:00,13:00,시이작,숨쉬는 테라피 (수인),수인,4,4,1.0,R31C3,시이작,숨쉬는 테라피(60분),수인,4,100.0,matched_same_capacity,0,False
317,2026-04-29,13:30,15:00,마이트리,하타 집중 (지바나),지바나,3,5,0.6,,,,,,0.0,no_drive_candidate_same_time,,True
319,2026-04-29,18:30,19:30,마인드플로우,움직임명상 (유미),유미,3,6,0.5,R33C3,마인드플로우,움직임명상(60분),유미 정원 10명,10,100.0,matched_capacity_mismatch,-4,True
321,2026-04-29,18:30,19:30,시이작,깨어나는 빈야사 (예진),예진,4,4,1.0,R32C3,시이작,깨어나는 빈야사(60분),예진,4,100.0,matched_same_capacity,0,False
323,2026-04-29,19:00,20:00,마이트리,하타 (연우),연우,5,5,1.0,R34C3,마이트리,하타 요가 (60분),연우 -정원 5명,5,100.0,matched_same_capacity,0,False
325,2026-04-29,19:30,20:40,빅블루요가,호흡 리커버리 (환),환,6,6,1.0,,,,,,0.0,no_drive_candidate_same_time,,True
327,2026-04-29,19:50,20:50,시이작,다독이는 인요가 (예진),예진,4,4,1.0,R36C3,시이작,다독이는 인요가(60분),예진,4,100.0,matched_same_capacity,0,False
329,2026-04-29,20:00,21:00,마인드플로우,하타요가 (유미),유미,4,6,0.6667,R37C3,마인드플로우,하타요가(60분),유미 정원 10명,10,100.0,matched_capacity_mismatch,-4,True
331,2026-04-29,20:30,21:30,마이트리,아쉬탕가 (연우),연우,2,5,0.4,R38C3,마이트리,아쉬탕가 (60분),연우 -정원5명,5,100.0,matched_same_capacity,0,False
335,2026-04-30,07:00,08:00,마이트리,빈야사 (성욱),성욱,0,5,0.0,R28C4,마이트리,빈야사 (60분),성욱 - 정원5명,5,100.0,matched_same_capacity,0,False
337,2026-04-30,07:00,08:00,시이작,초급 빈야사 (준형),준형,2,4,0.5,R27C4,시이작,초급 빈야사(60분),준형,4,100.0,matched_same_capacity,0,False
339,2026-04-30,10:00,11:00,마이트리,하타베이직 (성욱),성욱,5,5,1.0,R29C4,마이트리,하타베이직 (60분),성욱 -정원5명,5,100.0,matched_same_capacity,0,False
341,2026-04-30,10:00,11:20,빅블루요가,호흡 리커버리 (환),환,8,8,1.0,R30C4,빅블루요가,호흡 리커버리 (80분),환 (정원 5명),5,100.0,matched_capacity_mismatch,3,True
343,2026-04-30,10:30,11:30,마인드플로우,빈야사요가 (보람),보람,4,10,0.4,R31C4,마인드플로우,빈야사요가(60분),보람 정원 10명,10,100.0,matched_same_capacity,0,False
345,2026-04-30,11:00,12:10,숨명상센터,안산 트레킹 오감 명상 (수지),수지,6,8,0.75,,,,,,0.0,no_drive_candidate_same_time,,True
347,2026-04-30,12:00,13:00,시이작,땀나는 하타 (수인),수인,4,4,1.0,R32C4,시이작,땀나는 하타 (60분),수인,4,100.0,matched_same_capacity,0,False
349,2026-04-30,18:30,19:30,마인드플로우,빈야사요가 (유미),유미,7,8,0.875,R36C4,마인드플로우,빈야사요가(60분),유미 정원 10명,10,100.0,matched_capacity_mismatch,-2,True
351,2026-04-30,18:30,19:30,시이작,땀나는 빈야사 (준형),준형,4,5,0.8,R35C4,시이작,땀나는 빈야사(60분),준형,4,100.0,matched_capacity_mismatch,1,True
353,2026-04-30,19:00,20:00,마이트리,테라피 (준아),준아,5,5,1.0,R39C4,마이트리,테라피 (60분),준아 -정원5명,5,100.0,matched_same_capacity,0,False
355,2026-04-30,19:30,20:30,숨 명상센터,마음의 평온을 찾는 호흡명상 (수지),수지,8,8,1.0,R40C4,숨명상센터,숙면을 위한 바디스캔 (60분),숨명상센터 수지 (정원 8명),8,40.0,low_confidence_match,0,True
357,2026-04-30,19:30,20:40,빅블루요가,정렬 에센스 (환),환,9,9,1.0,R40C4,숨명상센터,숙면을 위한 바디스캔 (60분),숨명상센터 수지 (정원 8명),8,17.65,low_confidence_match,1,True
